epoch,loss
1,2.5926
2,2.5771
3,2.5758
4,2.5750
5,2.5747
6,2.5745
7,2.5744
8,2.5743
9,2.5744
10,2.5741
11,2.5730
12,2.5729
13,2.5729
14,2.5728
15,2.5728
16,2.5728
17,2.5728
18,2.5728
19,2.5728
20,2.5728
21,2.5727
22,2.5727
23,2.5727
24,2.5727
25,2.5727
26,2.5727
27,2.5727
28,2.5727
29,2.5727
30,2.5727
31,2.5727
32,2.5727
33,2.5727
34,2.5727
35,2.5726
36,2.5726
37,2.5727
38,2.5727
39,2.5726
40,2.5726
41,2.5727
42,2.5727
43,2.5727
44,2.5727
45,2.5727
46,2.5726
47,2.5727
48,2.5727
49,2.5727
50,2.5727
51,2.5727
52,2.5726
53,2.5727
54,2.5726
55,2.5726
56,2.5727
57,2.5727
58,2.5727
59,2.5727
60,2.5727
61,2.5726
62,2.5726
63,2.5727
64,2.5726
65,2.5726
66,2.5727
67,2.5727
68,2.5726
69,2.5726
70,2.5727
71,2.5726
72,2.5726
73,2.5727
74,2.5726
75,2.5726
76,2.5726
77,2.5727
78,2.5727
79,2.5727
80,2.5726
81,2.5727
82,2.5726
83,2.5726
84,2.5727
85,2.5726
86,2.5727
87,2.5726
88,2.5727
89,2.5726
90,2.5727
91,2.5727
92,2.5727
93,2.5727
94,2.5727
95,2.5727
96,2.5726
97,2.5727
98,2.5727
99,2.5726
100,2.5726
