epoch,loss
1,4.3779
2,2.7060
3,2.7206
4,2.5929
5,2.5843
6,2.4201
7,2.6062
8,2.5188
9,2.6167
10,2.6617
11,2.6540
12,2.7241
13,2.4598
14,2.4789
15,2.4771
16,2.9003
17,2.5947
18,2.6003
19,2.4297
20,2.6093
21,2.3830
22,2.5105
23,2.5519
24,2.5694
25,2.5039
26,2.3947
27,2.5715
28,2.6874
29,2.3065
30,2.5674
31,2.5660
32,2.6625
33,2.4657
34,2.4857
35,2.5249
36,2.3384
37,2.5954
38,2.4618
39,2.6454
40,2.7784
41,2.5590
42,2.6164
43,2.3768
44,2.5108
45,2.5962
46,2.5849
47,2.5027
48,2.4684
49,2.5352
50,2.5453
51,2.5464
52,2.4704
53,2.4576
54,2.4032
55,2.5628
56,2.3733
57,2.2957
58,2.4988
59,2.3873
60,2.5116
61,2.3346
62,2.4062
63,2.5071
64,2.5622
65,2.2800
66,2.4818
67,2.3811
68,2.4302
69,2.4011
70,2.5265
71,2.4472
72,2.6410
73,2.4644
74,2.4628
75,2.4877
76,2.5655
77,2.4046
78,2.6568
79,2.5508
80,2.5391
81,2.5057
82,2.4559
83,2.5533
84,2.5002
85,2.6132
86,2.4705
87,2.4085
88,2.3486
89,2.3186
90,2.4781
91,2.4650
92,2.4105
93,2.3697
94,2.1901
95,2.5485
96,2.4151
97,2.6156
98,2.4965
99,2.6450
100,2.7031
